iter	Passed	Remaining
0	3	332
1	6	311
2	9	302
3	11	285
4	14	284
5	17	281
6	21	280
7	24	280
8	27	277
9	30	274
10	33	270
11	36	266
12	39	262
13	42	259
14	45	256
15	48	253
16	51	250
17	54	246
18	57	243
19	60	240
20	63	237
21	66	235
22	69	233
23	72	230
24	76	228
25	79	225
26	82	223
27	85	220
28	88	217
29	91	214
30	94	211
31	98	208
32	101	206
33	105	204
34	108	202
35	111	198
36	115	196
37	118	193
38	122	191
39	125	188
40	128	184
41	129	179
42	132	176
43	136	173
44	139	170
45	142	167
46	146	164
47	149	161
48	152	159
49	156	156
50	160	153
51	163	150
52	166	148
53	170	145
54	172	141
55	176	138
56	179	135
57	183	132
58	187	130
59	190	127
60	194	124
61	198	121
62	202	118
63	206	116
64	210	113
65	214	110
66	219	107
67	223	105
68	227	102
69	231	99
70	234	95
71	238	92
72	241	89
73	244	86
74	248	82
75	251	79
76	255	76
77	258	73
78	262	69
79	266	66
80	269	63
81	273	59
82	276	56
83	280	53
84	284	50
85	287	46
86	290	43
87	294	40
88	297	36
89	301	33
90	305	30
91	309	26
92	313	23
93	317	20
94	320	16
95	324	13
96	327	10
97	331	6
98	335	3
99	338	0
